7.0753,15.816,15.853,7.1139
7.1089,15.909,15.909,7.1677
7.1415,15.83,15.91,7.1331
7.144,15.878,15.898,7.1406
7.0935,15.87,15.85,7.1431
7.098,15.879,15.857,7.1058
7.1384,15.847,15.836,7.1228
7.1188,15.873,15.89,7.1267
7.1334,15.893,15.9,7.0867
7.0947,15.813,15.903,7.1273
7.0888,15.82,15.867,7.1405
7.154,15.909,15.871,7.1137
7.1478,15.877,15.826,7.1547
7.1645,15.835,15.901,7.1442
7.0819,15.852,15.856,7.1071
7.0893,15.824,15.832,7.1165
7.081,15.838,15.901,7.1097
7.12,15.837,15.888,7.1486
7.0904,15.845,15.9,7.1445
7.1607,15.827,15.84,7.1141
7.081,15.846,15.879,7.1404
7.0755,15.824,15.878,7.1656
7.1268,15.9,15.824,7.1495
7.1483,15.821,15.852,7.1416
7.1023,15.904,15.839,7.082
7.089,15.851,15.883,7.1101
7.105,15.816,15.84,7.1302
7.0921,15.846,15.901,7.117
7.1221,15.885,15.894,7.0761
7.1617,15.891,15.85,7.0939
7.134,15.866,15.861,7.1545
7.0812,15.88,15.881,7.0726
7.1102,15.901,15.895,7.1574
7.0765,15.817,15.872,7.0789
7.1212,15.842,15.869,7.138
7.1142,15.816,15.844,7.1211
7.1708,15.831,15.857,7.0929
7.1522,15.883,15.883,7.1282
7.1196,15.884,15.9,7.0833
7.1605,15.899,15.883,7.1382
7.0848,15.87,15.813,7.131
7.1101,15.818,15.879,7.0767
7.1638,15.904,15.855,7.0767
7.1628,15.891,15.855,7.0863
7.1424,15.84,15.823,7.073
7.1329,15.866,15.893,7.1146
7.1054,15.91,15.844,7.1543
7.1647,15.883,15.836,7.1328
7.0835,15.895,15.846,7.1231
7.1441,15.855,15.849,7.1575
7.1357,15.858,15.866,7.0808
7.1544,15.867,15.868,7.1619
7.1109,15.838,15.851,7.0819
7.1461,15.886,15.851,7.1228
7.1546,15.862,15.863,7.0854
7.1033,15.876,15.877,7.127
7.1263,15.842,15.906,7.0715
7.169,15.825,15.884,7.1477
7.126,15.859,15.851,7.1559
7.1041,15.848,15.895,7.1627
7.133,15.89,15.825,7.1698
7.1071,15.889,15.817,7.1216
7.1467,15.878,15.82,7.0982
7.1125,15.825,15.828,7.0811
7.1203,15.814,15.844,7.1219
7.1405,15.867,15.842,7.1296
7.1683,15.841,15.813,7.1474
7.1038,15.905,15.865,7.0794
7.1548,15.909,15.821,7.1372
7.145,15.84,15.826,7.1228
7.1665,15.891,15.875,7.0882
7.0743,15.901,15.897,7.1649
7.1068,15.871,15.909,7.1301
7.1373,15.9,15.868,7.1151
7.0992,15.906,15.911,7.1653
7.0941,15.866,15.867,7.1367
7.1422,15.884,15.863,7.1163
7.1335,15.869,15.844,7.155
7.1301,15.814,15.854,7.1243
7.1371,15.856,15.861,7.1265
7.0758,15.876,15.818,7.1391
7.1059,15.864,15.9,7.1078
7.1162,15.849,15.818,7.095
7.0952,15.905,15.855,7.129
7.1426,15.894,15.894,7.1578
7.1567,15.896,15.851,7.1117
7.0992,15.849,15.873,7.0823
7.1442,15.871,15.893,7.1155
7.0848,15.899,15.9,7.1011
7.1547,15.905,15.904,7.1112
7.0849,15.878,15.83,7.1544
7.1299,15.832,15.837,7.1114
7.1077,15.877,15.901,7.1101
7.1517,15.819,15.871,7.1071
7.1214,15.852,15.862,7.0851
7.12,15.878,15.873,7.0971
7.1588,15.905,15.893,7.0797
7.1064,15.892,15.865,7.114
7.116,15.86,15.832,7.0968
7.1674,15.887,15.857,7.1008
